parent,nom,lien,type,descriptionFr,sourceDescriptionFr,lienDescriptionFr,descriptionEn,sourceDescriptionEn,lienDescriptionEn,prix,licence,plateformes,SimilaireA,BaséEn
Stocker dans le cloud,Sync,https://www.sync.com/,outil,,,,,,,,,,"Google Drive, SharePoint, iCloud",
Stocker dans le cloud,CozyCloud,https://cozy.io/fr/,outil,,,,,,,,,,"Google Drive, SharePoint, iCloud",
Stocker dans le cloud,OwnCloud,https://owncloud.org/,outil,,,,,,,,,,"Google Drive, SharePoint, iCloud",
Stocker dans le cloud,Nextcloud,https://nextcloud.com/,outil,,,,,,,,,,"Google Drive, SharePoint, iCloud",
Stocker,Stocker chez soi,,titre,"Caractéristiques ou fonctionnalités mises en avant : garder le contrôle sur ses données, gérer les droits d'accès de tiers à vos données, chiffrer vos données, protéger par mot de passe",,,,,,,,,,
Stocker chez soi,Lima,https://meetlima.com/,outil,,,,,,,,,,"Google Drive, SharePoint, iCloud",
Stocker chez soi,Serveur NAS,,outil,,,,,,,,,,"Google Drive, SharePoint, iCloud",
Stocker chez soi,Disque dur externe,,outil,,,,,,,,,,"Google Drive, SharePoint, iCloud",
Stocker chez soi,Clé USB protégée par un mot de passe,,outil,,,,,,,,,,"Google Drive, SharePoint, iCloud",
Stocker,Archiver et trier,,titre,"Caractéristiques ou fonctionnalités mises en avant : compresser et chiffrer ses fichiers pour archivage, voir l’arborescence de dossiers en local",,,,,,,,,,
Archiver et trier,7-Zip,http://www.7-zip.org/,outil,,,,,,,Gratuit,Libre,Windows,,
Archiver et trier,Archifiltre,https://archifiltre.fabrique.social.gouv.fr/,outil,Visualisation d'arborescence de fichiers,,,,,,,,,,
Archiver et trier,FreeFileSync,https://freefilesync.org/,outil,Comparaison et synchronisation de dossiers,,,,,,,,,,
Stocker,Chiffrer,,titre,Caractéristiques ou fonctionnalités mises en avant : chiffrer ses données,,,,,,,,,,
Chiffrer,Veracrypt,http://www.7-zip.org/,outil,,,,,,,,,,,
Chiffrer,AxCrypt,https://www.axcrypt.net/,outil,,,,,,,,,,,
Chiffrer,Cryhod,https://www.primx.eu/en/cryhod.aspx,outil,,,,,,,,,,,
Chiffrer,Chiffrer sa carte sd et son ordinateur,,pratique,,,,,,,,,,,
