parent,nom,lien,type,descriptionFr,sourceDescriptionFr,lienDescriptionFr,descriptionEn,sourceDescriptionEn,lienDescriptionEn,prix,licence,plateformes,SimilaireA,BaséEn
,Outils et pratiques Privacy par LINC,,,,,,,,,,,,,
Outils et pratiques Privacy par LINC,S'équiper,,titre,,,,,,,,,,,
S'équiper,Choisir son smartphone,,titre,"Caractéristiques ou fonctionnalités mises en avant : supporter le démarrage vérifié, changer l’OS",,,,,,,,,,
Choisir son smartphone,Vérifier la date de fin des mises à jour de sécurité,,pratique,"Les appareils reçoivent des mises à jour de sécurité fréquentes pour une durée limitée, au-delà il n’est plus recommandé de les utiliser car  ils deviennent potentiellement vulnérables aux failles plus récentes. Il est possible de connaître cette date avant ou après un achat pour prévoir la « durée de vie » de l’appareil.",,,,,,,,,,
Choisir son smartphone,endoflife.date,https://endoflife.date/,outil,"« endoflife.date est un projet géré par la communauté pour documenter les dates de fin de vie, et garanties de divers produits. »","(endoflife.date, traduit)",https://endoflife.date/,,,,Gratuit,Libre,Navigateur,,
Choisir son smartphone,Pixel dégooglisé,https://store.google.com/category/phones?hl=fr,outil,« Google Pixel est une gamme d'appareils électroniques grand public fabriquée et commercialisée par Google depuis septembre 2015. » Les Pixel phones sont réputés plus sécurisés que leurs concurrents et supportent le démarrage vérifié. Il est nécessaire d’utiliser une version dérivée d’Android pour sortir du pistage intrusif de Google.,(Wikipedia),https://fr.wikipedia.org/wiki/Google_Pixel,,,,Payant,Propriétaire,,,
S'équiper,Choisir son ordinateur,,titre,,,,,,,,,,,
Choisir son ordinateur,Regarder la date d’arrêt des mises à jour de sécurité de l’OS et du fournisseur,,pratique,,,,,,,,,,,
Choisir son ordinateur,endoflife.date,https://endoflife.date/,outil,"« endoflife.date est un projet géré par la communauté pour documenter les dates de fin de vie, et garanties de divers produits. »","(endoflife.date, traduit)",https://endoflife.date/,,,,Gratuit,Libre,Navigateur,,
S'équiper,Choisir son OS,,titre,"Caractéristiques ou fonctionnalités mises en avant : protection accru de l’intégrité du système, compartimenter / cloisonner les usages, gérer les permissions des applications, services Google Play confinés",,,,,,,,,,
Choisir son OS,CalyxOS,https://calyxos.org/,outil,« CalyxOS est un système d'exploitation pour smartphones basé sur Android avec des logiciels majoritairement gratuits et open-source. Il est produit par l'Institut Calyx dans le cadre de sa mission visant à rendre la protection de la vie privée plus accessible et plus facile à utiliser. »,"(Wikipedia, traduit)",https://en.wikipedia.org/wiki/CalyxOS,« CalyxOS is an operating system for smartphones based on Android with mostly free and open-source software. It is produced by the Calyx Institute as part of its mission to make privacy more accessible and easier to use. »,,,Gratuit,Propriétaire,Android,OS natif,
Choisir son OS,GrapheneOS,https://grapheneos.org/,outil,"« GrapheneOS est un système d'exploitation mobile basé sur Android, renforcé sur le plan de la sécurité, axé sur la vie privée, essentiellement libre et open-source, pour une sélection de smartphones. Il est axé sur la confidentialité et la sécurité, et est compatible avec plusieurs smartphones Google Pixel. »",(Wikipedia),https://en.wikipedia.org/wiki/GrapheneOS,"« GrapheneOS is an Android-based, security-hardened, privacy focused, mostly free and open-source, mobile operating system for selected smartphones. It is focused on privacy and security, and is compatible with several Google Pixel smartphones. »",,,Gratuit,Libre,Android,OS natif,
Choisir son OS,Tails,https://tails.boum.org/,outil,« Tails ou The Amnesic Incognito Live System est une distribution GNU/Linux axée sur la sécurité fondée sur Debian qui a pour but de préserver vie privée et anonymat. Le système est conçu pour ne pas laisser de trace numérique sur la machine à moins qu'il soit explicitement autorisé à le faire. »,(Wikipedia),https://fr.wikipedia.org/wiki/Tails_(syst%C3%A8me_d%27exploitation),,(Wikipedia),https://en.wikipedia.org/wiki/Tails_(operating_system),Gratuit,Libre,"Windows, macOS","Windows, macOS",
Choisir son OS,ReactOS,https://reactos.org/,outil,« ReactOS est un projet de système d'exploitation libre en développement se voulant compatible avec les programmes et pilotes Microsoft Windows. »,(Wikipedia),https://fr.wikipedia.org/wiki/ReactOS,« ReactOS is a free and open-source operating system for amd64/i686 personal computers intended to be binary-compatible with computer programs and device drivers made for Windows Server 2003 and later versions of Windows. « ,(Wikipedia),https://en.wikipedia.org/wiki/ReactOS,Gratuit,Libre,Windows,Windows,
S'équiper,Recharger son smartphone,,titre,Caractéristiques ou fonctionnalités mises en avant :  différencier la charge et le transfert de données.,,,,,,,,,,
Recharger son smartphone,Cable USB sans data,,outil,"Un câble USB classique comporte deux paires de fils : une servant à faire passer le courant, l’autre les données. Un câble sans data permet uniquement de recharger, même sur des ports peu sûrs.",,,,,,,,,,
S'équiper,Installer des applications,,titre,,,,,,,,,,,
Installer des applications,Désinstaller ses applis non utilisées et supprimer ses comptes,,pratique,,,,,,,,,,,
Installer des applications,AuroraOSS,https://auroraoss.com/,outil,"« Aurora Store est une interface cliente alternative open-source au Play Store de Google, pensée pour la confidentialité et avec un design moderne. Non seulement Aurora Store télécharge, met à jour et recherche des applications comme le Play Store, mais il offre également à l'utilisateur une variété de fonctionnalités utiles. »","(AuroraOSS Docs, traduit)",https://auroraoss.gitbook.io/docs/our-apps/aurora-store,"« Aurora Store is an open-source alternative Google Play Store frontend client with privacy and modern design in mind. Not only does Aurora Store download, update, and search for apps like the Play Store, it also empowers the user with a handful of useful features. »",(AuroraOSS Docs),https://auroraoss.gitbook.io/docs/our-apps/aurora-store,Gratuit,Libre,Android,Google Play Store,
Installer des applications,F-Droid,https://f-droid.org/fr/,outil,"« F-Droid (Android FLOSS repository) est un magasin d'applications libres pour les systèmes d’exploitation Android et dérivés, comme Replicant sur lequel il est installé par défaut. »",(Wikipedia),https://fr.wikipedia.org/wiki/F-Droid,"« F-Droid is an app store and software repository for Android, serving a similar function to the Google Play store. The main repository, hosted by the project, contains only free and open source apps. Applications can be browsed, downloaded and installed from the F-Droid website or client app without the need to register for an account. ""Anti-Features"" such as advertising, user tracking, or dependence on non-free software are flagged in app descriptions. »",(Wikipedia),https://en.wikipedia.org/wiki/F-Droid,Gratuit,Libre,Android,Google Play Store,
Outils et pratiques Privacy par LINC,Naviguer,,titre,,,,,,,,,,,
Naviguer,Choisir son VPN,,titre,,,,,,,,,,,
Choisir son VPN,Estimer son besoin d’avoir un VPN,,pratique,Un VPN n’est pas utile dans certaines situations aussi il est necessaire de savoir contre quoi on se protège avnt d’en choisir un. Voir ivpn.net et privacyguides.org pour l’explication à remettre ici,,,,(Wikipedia),,,,,,
Choisir son VPN,Proton VPN,https://protonvpn.com/,outil,"« ProtonVPN est un fournisseur de services de réseau privé virtuel (VPN) développé par la société suisse Proton Technologies AG, la société qui édite également le service de messagerie ProtonMail. »",(Wikipedia),https://fr.wikipedia.org/wiki/ProtonVPN,"« Proton VPN is a VPN service operated by the Swiss company Proton AG, the company behind the email service Proton Mail. »",,https://en.wikipedia.org/wiki/Proton_VPN,Freemium,Propriétaire,"GNU/Linux, Windows, macOS, Android, iOS, iPadOS",,
Naviguer,Choisir son navigateur,,titre,"Caractéristiques ou fonctionnalités mises en avant : permettre la navigation privée (ne pas laisser d'historique ou cookies), bloquer les traqueurs (cookies), bloquer les publicités, anonymiser la navigation, chiffrer la navigation, traiter les données en local.",,,,,,,,,,
Choisir son navigateur,Firefox,https://www.mozilla.org/fr/firefox/browsers/,outil,"« Mozilla Firefox est un navigateur web libre et gratuit disponible pour PC (Windows, macOS, Linux, BSD, etc.) et mobiles (Android, iOS), développé et distribué par la Mozilla Foundation depuis 2003, avec l'aide de milliers de bénévoles. »",(Wikipedia),https://fr.wikipedia.org/wiki/Mozilla_Firefox,"« Mozilla Firefox, or simply Firefox, is a free and open-source web browser developed by the Mozilla Foundation and its subsidiary, the Mozilla Corporation. »",(Wikipedia),https://en.wikipedia.org/wiki/Firefox,Gratuit,Libre,"GNU/linux, Windows, macOS, Android, iOS","Chrome, Safari, Opera, Navigateur natif",USA
Choisir son navigateur,Chromium,http://www.chromium.org/Home,outil,« Chromium est un navigateur web libre développé par l’organisation Chromium Project créée par Google en 2008. Chromium sert de base à plusieurs autres navigateurs. »,(Wikipedia),https://fr.wikipedia.org/wiki/Chromium,,,,Gratuit,Libre,"GNU/linux, Windows, macOS, Android","Chrome, Safari, Opera, Navigateur natif",
Choisir son navigateur,Tor Browser,https://www.torproject.org/,outil,« Le Tor Browser est un navigateur web libre basé sur Mozilla Firefox ESR qui permet de naviguer anonymement sur le réseau d'anonymisation Tor. Il est développé par l’organisation The Tor Project. »,(Wikipedia),https://fr.wikipedia.org/wiki/Tor_Browser,,,,Gratuit,Libre,"GNU/linux, Windows, macOS, Android","Chrome, Safari, Opera, Navigateur natif",
Choisir son navigateur,Orfox,https://guardianproject.info/apps/info.guardianproject.orfox/,outil,« un équivalent mobile du navigateur Tor. The Guardian Project a annoncé la version alpha stable d'Orfox le 30 juin 2015. »,(Wikipedia),https://fr.wikipedia.org/wiki/Guardian_Project,,,,Gratuit,Libre,Android,"Chrome, Safari, Opera, Navigateur natif",
Choisir son navigateur,Onion Browser,https://onionbrowser.com/,outil,"« Onion Browser est un navigateur web open-source pour iOS, qui améliore la confidentialité et utilise Tor.  Il est disponible dans l'App Store iOS, et le code source est disponible sur GitHub. »","(Wikipedia, traduit)",https://en.wikipedia.org/wiki/Tor_(network),"« Onion Browser  is an open-source, privacy-enhancing web browser for iOS, which uses Tor.  It is available in the iOS App Store,  and source code is available on GitHub. »",(Wikipedia),https://en.wikipedia.org/wiki/Tor_(network),Gratuit,Libre,iOS,"Chrome, Safari, Opera, Navigateur natif",
Choisir son navigateur,Firefox Focus,https://www.mozilla.org/fr/firefox/browsers/mobile/focus/,outil,"« Firefox Focus est un navigateur web mobile libre et gratuit, dérivé de Firefox développé par Mozilla Foundation depuis 2016. Disponible sous iOS et Android, il vise à préserver la vie privée de ses utilisateurs en limitant l'accès à leurs données personnelles et en limitant le pistage de la navigation par des traqueurs extérieurs. »",(Wikipedia),https://fr.wikipedia.org/wiki/Firefox_Focus,"« Firefox Focus is a free and open-source privacy-focused mobile browser from Mozilla, available for Android and iOS smartphones and tablets. »",(Wikipedia),https://en.wikipedia.org/wiki/Firefox_Focus,Gratuit,Libre,"Android, iOS","Chrome, Safari, Opera, Navigateur natif",
Choisir son navigateur,Brave,https://brave.com/fr/,outil,"« Brave (prononcé en anglais : [bɹeɪv]) est un navigateur web open source gratuit disponible sur Windows, macOS et Linux ainsi que sur iOS et Android. Il a pour objectif de protéger la vie privée de ses utilisateurs en bloquant par défaut les pisteurs et en permettant la navigation via le réseau Tor. »",(Wikipedia),https://fr.wikipedia.org/wiki/Brave_(navigateur_web),,,,Gratuit,Libre,,"Chrome, Safari, Opera, Navigateur natif",
Choisir son navigateur,Iridium Browser,https://iridiumbrowser.de/,outil,"« Iridium Browser est basé sur la base de code Chromium. Toutes les modifications renforcent la confidentialité de l'utilisateur et garantissent l'utilisation des dernières et meilleures technologies sécurisées. La transmission automatique de requêtes partielles, de mots-clés et de métriques aux services centraux est empêchée et ne se produit qu'avec l'approbation de l'utilisateur. »","(Iridium Browser website, traduit)",https://iridiumbrowser.de/about,"« Iridium Browser is based on the Chromium code base. All modifications enhance the privacy of the user and make sure that the latest and best secure technologies are used. Automatic transmission of partial queries, keywords and metrics to central services is prevented and only occurs with the approval of the user. »",(Iridium Browser website),https://iridiumbrowser.de/about,,,,,
Naviguer,Chercher,,titre,"Caractéristiques ou fonctionnalités mises en avant : pas de collectes de données, pas d'historique des recherches, pas de liens mouchards sur les URL de résultats, pas de publicités basées sur les profils et historiques",,,,,,,,,,
Chercher,Utiliser la navigation privée,,pratique,,,,,,,,,,,
Chercher,Naviguer sans s'authentifier,,pratique,,,,,,,,,,,
Chercher,Ne pas synchroniser ses sessions / favoris,,pratique,,,,,,,,,,,
Chercher,Configurer son navigateur en mode strict,,pratique,,,,,,,,,,,
Chercher,Ne pas entrer de données personnelles sur un site en http,,pratique,,,,,,,,,,,
Chercher,Ne pas utiliser wifi et les ordinateur de son entreprise pour des recherches persos ,,pratique,Jsp à quel point c'est vrai que ça peut etre problématique mais EFF en parlait au moins pour les USA,,,,,,,,,,
Chercher,Qwant,https://www.qwant.com/,outil,,,,,,,Gratuit,Propriétaire,"Android, iOS, Navigateur","Google, Bing, Yahoo!, ",
Chercher,Duck Duck Go,https://duckduckgo.com/,outil,,,,,,,Gratuit,Propriétaire,"Android, iOS, Navigateur","Google, Bing, Yahoo!, ",
Chercher,StartPage,https://www.startpage.com/,outil,,,,,,,,,,,
Naviguer,Réguler les traqueurs,,titre,"Caractéristiques ou fonctionnalités mises en avant : monitorer l'installation de traqueurs, contrôler l'installation de traqueurs, interdire l'installation de traqueurs",,,,,,,,,,
Réguler les traqueurs,Effacer ses cookies,,pratique,,,,,,,,,,,
Réguler les traqueurs,Kimetrack,https://www.nextinpact.com/news/105881-kimetrak-quels-sites-multiplient-services-pistage.htm,outil,,,,,,,,,,,
Réguler les traqueurs,Disconnect,https://disconnect.me/,outil,,,,,,,,,,,
Réguler les traqueurs,Privacy Badger,https://www.eff.org/privacybadger,outil,,,,,,,,,,Ghostery,
Réguler les traqueurs,Noscript,https://noscript.net/,outil,,,,,,,,,,,
Réguler les traqueurs,Do Not Track,http://donottrack.us/,outil,,,,,,,,,,,
Réguler les traqueurs,uBlock Origin,https://ublockorigin.com/fr,outil,,,,,,,,,,,
Réguler les traqueurs,Little Snitch,https://www.obdev.at/products/littlesnitch/index.html,outil,,,,,,,,,,,
Réguler les traqueurs,Facebook Container,https://addons.mozilla.org/fr/firefox/addon/facebook-container/,outil,Préviens de la présence et bloque les trackers de Facebook sur les sites visités,,,,,,,,,,
